PMID,Title,Journal,Host Species,Host Species Status,Body Site,Body Site Status,Condition,Condition Status,Sequencing Type,Sequencing Type Status,Taxa Level,Taxa Level Status,Sample Size,Sample Size Status,Summary,Processing Time
22170749,Alterations in the gut microbiome of children with severe ulcerative colitis.,,Children,PRESENT,Fecal samples,PRESENT,Ulcerative Colitis (UC) and response to steroid therapy,PRESENT,"DNA extraction, polymerase chain reaction (PCR) amplification of bacterial 16S rRNA, and microarray hybridization",PRESENT,"Phylum, Class, Order, Family, Genus, and Phylospecies",PRESENT,There were 26 healthy controls and 27 children hospitalized with severe UC.,PRESENT,,0
22228076,Distinct gut microbiota in southeastern African and northern European infants.,,infants,PRESENT,infant stool samples,PRESENT,The gut microbiota composition in infants in relation to malnutrition and diarrheal diseases in low-income countries and Western lifestyle diseases in high-income countries.,PRESENT,flow cytometry-fluorescent in situ hybridization and quantitative polymerase chain reaction methods,PRESENT,genus and species,PRESENT,75,PRESENT,,0
22315951,Functional dysbiosis within the gut microbiota of patients with constipated-irritable bowel syndrome.,,Humans,PRESENT,Faeces,PRESENT,Constipated-Irritable Bowel Syndrome (C-IBS),PRESENT,Fluorescent in situ hybridisation (16S rDNA gene targeting probes),PRESENT,genus,PRESENT,26,PRESENT,,0
24273047,"Oral status in patients with early rheumatoid arthritis: a prospective, case-control study.",,Humans,PRESENT,subgingivally and supragingivally,PRESENT,The study is investigating the relationship between early Rheumatoid Arthritis (ERA) and periodontal disease (specifically periodontal attachment loss and alveolar bone loss).,PRESENT,real-time quantitative PCR,PRESENT,species,PRESENT,44,PRESENT,,0
24296500,"Microbial enterotypes, inferred by the prevotella-to-bacteroides ratio, remained stable during a 6-month randomized controlled diet intervention with the new nordic diet.",,Humans,PRESENT,gut,PRESENT,Central obesity and components of metabolic syndrome,PRESENT,Quantitative PCR,PRESENT,"genus, species",PRESENT,62,PRESENT,,0
24316595,Human gut microbiome and risk for colorectal cancer.,,Humans,PRESENT,fecal,PRESENT,Colorectal cancer (CRC),PRESENT,454 FLX technology,PRESENT,The analysis was performed at the class level (Clostridia) and genus level (Fusobacterium and Porphyromonas).,PRESENT,141,PRESENT,,0
24370189,Changes of saliva microbiota in nasopharyngeal carcinoma patients under chemoradiation therapy.,,Humans,PRESENT,Saliva,PRESENT,Nasopharyngeal carcinoma (NPC) and its chemoradiation therapy,PRESENT,Pyrosequencing of the bacterial 16S ribosomal DNA (rDNA) V1-V3 hypervariable region,PRESENT,"phylum, genus, species, and operational taxonomic unit (OTU)",PRESENT,"There were three NPC patients and three healthy controls, resulting in a total of six participants.",PRESENT,,0
24399150,An altered intestinal mucosal microbiome in HIV-1 infection is associated with mucosal and systemic immune activation and endotoxemia.,,Humans,PRESENT,Colon biopsies and fecal samples,PRESENT,Human immunodeficiency virus-1 (HIV-1) infection,PRESENT,Bacterial 16S ribosomal DNA sequencing,PRESENT,genus,PRESENT,The number of samples or participants included in the study is not specified in the context.,ABSENT,,0
24402367,16S rRNA gene pyrosequencing reveals shift in patient faecal microbiota during high-dose chemotherapy as conditioning regimen for bone marrow transplantation.,,Humans,PRESENT,faecal,PRESENT,Changes in faecal microbiota due to chemotherapy in patients with non-Hodgkin's lymphoma undergoing bone marrow transplantation (BMT).,PRESENT,454-pyrosequencing of the 16S rRNA gene,PRESENT,"The study analyzed the 16S rRNA gene, which is commonly used for taxonomic classification, and specifically mentions changes in the abundance of *Faecalibacterium* and *Escherichia*, which are genera.",PARTIALLY_PRESENT,Eight patients with non-Hodgkin's lymphoma,PRESENT,,0
24421902,Microbial dysbiosis is associated with human breast cancer.,,Humans,PRESENT,breast tumor tissue and paired normal adjacent tissue from the same patient,PRESENT,Breast cancer,PRESENT,next-generation sequencing,PRESENT,species,PRESENT,The number of samples or participants is not explicitly stated in the provided context.,ABSENT,,0
24448554,Fecal microbiota imbalance in Mexican children with type 1 diabetes.,,Humans,PRESENT,Feces,PRESENT,Type 1 Diabetes (T1D),PRESENT,454-pyrosequencing,PRESENT,genus,PRESENT,29,PRESENT,,0
24451087,HIV Infection is associated with compositional and functional shifts in the rectal mucosal microbiota.,,human,PRESENT,Rectal mucosal,PRESENT,HIV infection,PRESENT,barcoded 16S Illumina deep sequencing,PRESENT,genus,PRESENT,60,PRESENT,,0
24532064,Altered fecal microbiota composition associated with food allergy in infants.,,human beings,PRESENT,feces,PRESENT,food allergy (FA),PRESENT,parallel barcoded 454 pyrosequencing targeting the 16S rRNA gene hypervariable V1-V3 regions,PRESENT,"Phylum, Family, Genus",PRESENT,"34 infants with FA (17 IgE mediated and 17 non-IgE mediated) and 45 healthy controls, totaling 79 participants.",PRESENT,,0
24614698,Meconium microbiome analysis identifies bacteria correlated with premature birth.,,Humans,PRESENT,Meconium,PRESENT,Preterm birth,PRESENT,16S rRNA analysis,PRESENT,genus,PRESENT,52,PRESENT,,0
24629344,The treatment-naive microbiome in new-onset Crohn's disease.,,pediatric CD cohort,PARTIALLY_PRESENT,"ileum, rectum, and fecal samples",PRESENT,Crohn's disease (CD),PRESENT,,ABSENT,family,PRESENT,the largest pediatric CD cohort to date,PARTIALLY_PRESENT,,0
24748167,Short-term effect of antibiotics on human gut microbiota.,,Humans,PRESENT,fecal,PRESENT,The short-term effects of broad-spectrum antibiotic intake (fluoroquinolones and β-lactams) on the gut microbial community.,PRESENT,pyrosequencing of the 16S rRNA gene and quantitative PCR,PRESENT,"Phylum, genus, and species",PRESENT,21,PRESENT,,0
24819377,The impact of postnatal antibiotics on the preterm intestinal microbiome.,,Preterm infants,PRESENT,Rectal (fecal) swabs,PRESENT,The effect of antibiotic duration on the intestinal microbiome in preterm infants.,PRESENT,16S rRNA pyrosequencing,PRESENT,Phylum,PRESENT,29,PRESENT,,0
24828543,Dynamic microbe and molecule networks in a mouse model of colitis-associated colorectal cancer.,,mice,PRESENT,gut,PRESENT,Colitis-associated colorectal cancer,PRESENT,High-throughput sequencing for the bacterial 16S rRNA gene (V3 region),PRESENT,species,PRESENT,"The number of samples or participants is not explicitly stated in the provided context. The study involved azoxymethane/dextran sodium sulphate-treated mice and control mice, but the exact number of mice in each group is not mentioned.",ABSENT,,0
25012901,The subgingival microbiome of clinically healthy current and never smokers.,,Humans,PRESENT,Subgingival plaque,PRESENT,Periodontal diseases,PRESENT,16S pyrotag sequencing,PRESENT,all taxonomic levels,PRESENT,200,PRESENT,,0
25023578,Efficacy of fecal microbiota transplantation in 2 children with recurrent Clostridium difficile infection and its impact on their growth and gut microbiome.,,Humans,PRESENT,fecal,PRESENT,Fecal microbiota transplantation (FMT) for recurrent Clostridium difficile infection (RCDI) in children.,PRESENT,,ABSENT,phylum,PRESENT,2,PRESENT,,0
25038099,Effect of metformin on metabolic improvement and gut microbiota.,,mice,PRESENT,fecal microbiota,PRESENT,The relationship between metformin treatment and the gut microbiota in a mouse model of high-fat-diet (HFD)-induced obesity.,PRESENT,The specific sequencing method or molecular technique used to investigate the composition of the gut microbiota is not mentioned in the provided context.,ABSENT,genus and species,PRESENT,,ABSENT,,0
